"Location","Vel_dir","Height","H_m","Width","Source","Velocity_mph","Distance_m","Velocity_ms","Nom_WS","Vel_Dir_label"
"BottomLeft","X","0.6096","Height = 0.6m","0.99","Raw -3m 1.5m-s",0.418489583333333,-3,0.187081583333333,1.5,"Perpendicular to 
wind flow (across) (X)"
"BottomLeft","Y","0.6096","Height = 0.6m","0.99","Raw -3m 1.5m-s",1.97213541666667,-3,0.881623416666667,1.5,"Parallel to 
wind flow(Y)"
"BottomLeft","Z","0.6096","Height = 0.6m","0.99","Raw -3m 1.5m-s",1.20088541666667,-3,0.536843816666667,1.5,"Vertical (Z)"
"BottomCenter","X","0.6096","Height = 0.6m","2.1","Raw -3m 1.5m-s",-0.556875,-3,-0.2489454,1.5,"Perpendicular to 
wind flow (across) (X)"
"BottomCenter","Y","0.6096","Height = 0.6m","2.1","Raw -3m 1.5m-s",2.20052083333333,-3,0.983720833333333,1.5,"Parallel to 
wind flow(Y)"
"BottomCenter","Z","0.6096","Height = 0.6m","2.1","Raw -3m 1.5m-s",1.32953125,-3,0.59435365,1.5,"Vertical (Z)"
"BottomRight","X","0.6096","Height = 0.6m","3.3","Raw -3m 1.5m-s",-0.956354166666667,-3,-0.427528566666667,1.5,"Perpendicular to 
wind flow (across) (X)"
"BottomRight","Y","0.6096","Height = 0.6m","3.3","Raw -3m 1.5m-s",3.05755208333333,-3,1.36684808333333,1.5,"Parallel to 
wind flow(Y)"
"BottomRight","Z","0.6096","Height = 0.6m","3.3","Raw -3m 1.5m-s",0.78890625,-3,0.35267265,1.5,"Vertical (Z)"
"MidLeft","X","1.2192","Height = 1.2m","0.99","Raw -3m 1.5m-s",0.30078125,-3,0.13446125,1.5,"Perpendicular to 
wind flow (across) (X)"
"MidLeft","Y","1.2192","Height = 1.2m","0.99","Raw -3m 1.5m-s",3.20223958333333,-3,1.43152918333333,1.5,"Parallel to 
wind flow(Y)"
"MidLeft","Z","1.2192","Height = 1.2m","0.99","Raw -3m 1.5m-s",0.819947916666667,-3,0.366549516666667,1.5,"Vertical (Z)"
"MidCenter","X","1.2192","Height = 1.2m","2.1","Raw -3m 1.5m-s",-0.21046875,-3,-0.09408795,1.5,"Perpendicular to 
wind flow (across) (X)"
"MidCenter","Y","1.2192","Height = 1.2m","2.1","Raw -3m 1.5m-s",3.44307291666667,-3,1.53919131666667,1.5,"Parallel to 
wind flow(Y)"
"MidCenter","Z","1.2192","Height = 1.2m","2.1","Raw -3m 1.5m-s",1.06239583333333,-3,0.474933433333333,1.5,"Vertical (Z)"
"MidRight","X","1.2192","Height = 1.2m","3.3","Raw -3m 1.5m-s",-0.252708333333333,-3,-0.112970733333333,1.5,"Perpendicular to 
wind flow (across) (X)"
"MidRight","Y","1.2192","Height = 1.2m","3.3","Raw -3m 1.5m-s",3.93546875,-3,1.75931195,1.5,"Parallel to 
wind flow(Y)"
"MidRight","Z","1.2192","Height = 1.2m","3.3","Raw -3m 1.5m-s",0.384427083333333,-3,0.171854283333333,1.5,"Vertical (Z)"
"TopLeft","X","1.8288","Height = 1.8m","0.99","Raw -3m 1.5m-s",-0.135885416666667,-3,-0.0607462166666667,1.5,"Perpendicular to 
wind flow (across) (X)"
"TopLeft","Y","1.8288","Height = 1.8m","0.99","Raw -3m 1.5m-s",4.0840625,-3,1.8257393,1.5,"Parallel to 
wind flow(Y)"
"TopLeft","Z","1.8288","Height = 1.8m","0.99","Raw -3m 1.5m-s",0.484114583333333,-3,0.216418583333333,1.5,"Vertical (Z)"
"TopCenter","X","1.8288","Height = 1.8m","2.1","Raw -3m 1.5m-s",-0.648072916666667,-3,-0.289714516666667,1.5,"Perpendicular to 
wind flow (across) (X)"
"TopCenter","Y","1.8288","Height = 1.8m","2.1","Raw -3m 1.5m-s",4.78276041666667,-3,2.13808521666667,1.5,"Parallel to 
wind flow(Y)"
"TopCenter","Z","1.8288","Height = 1.8m","2.1","Raw -3m 1.5m-s",0.333854166666667,-3,0.149246166666667,1.5,"Vertical (Z)"
"TopRight","X","1.8288","Height = 1.8m","3.3","Raw -3m 1.5m-s",-0.26734375,-3,-0.11951335,1.5,"Perpendicular to 
wind flow (across) (X)"
"TopRight","Y","1.8288","Height = 1.8m","3.3","Raw -3m 1.5m-s",4.80619791666667,-3,2.14856271666667,1.5,"Parallel to 
wind flow(Y)"
"TopRight","Z","1.8288","Height = 1.8m","3.3","Raw -3m 1.5m-s",0.453072916666667,-3,0.202541716666667,1.5,"Vertical (Z)"
