"Location","Vel_dir","Height","H_m","Width","Source","direction.deg","payload","Distance_m","Nom_WS"
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +2m 3m-s",28.0310046984409,2,2,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +2m 3m-s",330.47692637668,2,2,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +2m 3m-s",7.51653474779818,2,2,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +2m 3m-s",29.0510271907913,2,2,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +2m 4.5m-s",22.7003945374417,2,2,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +2m 4.5m-s",9.38977559874978,2,2,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +2m 4.5m-s",334.099593301716,2,2,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +2m 4.5m-s",358.750678879808,2,2,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +2m 4.5m-s",12.0310695641318,2,2,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +2m 4.5m-s",12.4925725966281,2,2,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +2m 4.5m-s",330.016391787846,2,2,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +2m 4.5m-s",3.6480338102684,2,2,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +2m 4.5m-s",25.5176154927349,2,2,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +1m 1.5m-s",24.0558777170598,2,1,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +1m 1.5m-s",11.0986038503618,2,1,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +1m 1.5m-s",352.738237359719,2,1,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +1m 1.5m-s",332.830544227198,2,1,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +1m 1.5m-s",36.2509327115627,2,1,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +1m 1.5m-s",35.0188001810212,2,1,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +1m 1.5m-s",319.141307575412,2,1,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +1m 1.5m-s",,2,1,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +1m 1.5m-s",53.6594446846702,2,1,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +1m 3m-s",36.1784506168263,2,1,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +1m 3m-s",357.8406942881,2,1,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +1m 3m-s",345.806738475335,2,1,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +1m 3m-s",340.781634787274,2,1,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +1m 3m-s",39.0165971114007,2,1,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +1m 3m-s",27.0369337220883,2,1,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +1m 3m-s",326.449683219098,2,1,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +1m 3m-s",,2,1,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +1m 3m-s",33.5051363422011,2,1,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw +1m 4.5m-s",15.9140880418372,2,1,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw +1m 4.5m-s",355.830485330034,2,1,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw +1m 4.5m-s",332.193590727685,2,1,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw +1m 4.5m-s",6.97427662810916,2,1,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw +1m 4.5m-s",3.15536017019164,2,1,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw +1m 4.5m-s",1.10607670909246,2,1,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw +1m 4.5m-s",330.637631864763,2,1,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw +1m 4.5m-s",,2,1,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw +1m 4.5m-s",25.1815258114563,2,1,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 0m 1.5m-s",12.8447297996614,2,0,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 0m 1.5m-s",16.3843419998831,2,0,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 0m 1.5m-s",340.235116341091,2,0,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 0m 1.5m-s",347.158819592515,2,0,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 0m 1.5m-s",,2,0,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 0m 1.5m-s",16.3560871621776,2,0,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 0m 1.5m-s",,2,0,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 0m 1.5m-s",,2,0,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 0m 1.5m-s",,2,0,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 0m 3m-s",8.42227627416647,2,0,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 0m 3m-s",18.6819798919466,2,0,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 0m 3m-s",355.948252870161,2,0,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 0m 3m-s",4.27785009561668,2,0,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 0m 3m-s",,2,0,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 0m 3m-s",5.66101632279243,2,0,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 0m 3m-s",,2,0,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 0m 3m-s",,2,0,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 0m 3m-s",,2,0,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 0m 4.5m-s",3.93699026054156,2,0,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 0m 4.5m-s",3.5491625650456,2,0,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 0m 4.5m-s",344.024917891877,2,0,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 0m 4.5m-s",7.05443733305808,2,0,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 0m 4.5m-s",,2,0,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 0m 4.5m-s",357.021756847349,2,0,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 0m 4.5m-s",,2,0,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 0m 4.5m-s",,2,0,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 0m 4.5m-s",,2,0,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -1m 1.5m-s",31.48643588675,2,-1,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -1m 1.5m-s",19.6475427090591,2,-1,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -1m 1.5m-s",30.527923762198,2,-1,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -1m 1.5m-s",348.164617248714,2,-1,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -1m 1.5m-s",2.01407981349522,2,-1,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -1m 1.5m-s",8.02803555707761,2,-1,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -1m 1.5m-s",343.351276653807,2,-1,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -1m 1.5m-s",,2,-1,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -1m 1.5m-s",12.3699619378442,2,-1,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -1m 3m-s",3.94439120384554,2,-1,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -1m 3m-s",352.282204766691,2,-1,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -1m 3m-s",341.923977397075,2,-1,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -1m 3m-s",1.73957405961895,2,-1,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -1m 3m-s",4.52875340126412,2,-1,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -1m 3m-s",351.378687501261,2,-1,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -1m 3m-s",355.706106727836,2,-1,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -1m 3m-s",,2,-1,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -1m 3m-s",3.16850115785837,2,-1,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -1m 4.5m-s",1.78857804314077,2,-1,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -1m 4.5m-s",357.522997818504,2,-1,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -1m 4.5m-s",351.079458392149,2,-1,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -1m 4.5m-s",0.539732508797317,2,-1,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -1m 4.5m-s",2.94944206914242,2,-1,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -1m 4.5m-s",352.797739964384,2,-1,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -1m 4.5m-s",358.006699943037,2,-1,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -1m 4.5m-s",,2,-1,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -1m 4.5m-s",0.185215558279503,2,-1,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -2m 1.5m m-s",0.940452916210048,2,-2,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -2m 1.5m m-s",350.5147120415,2,-2,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -2m 1.5m m-s",353.436330501901,2,-2,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -2m 1.5m m-s",350.844406702919,2,-2,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -2m 1.5m m-s",355.076584264691,2,-2,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -2m 1.5m m-s",357.270361434301,2,-2,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -2m 1.5m m-s",351.472064072191,2,-2,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -2m 1.5m m-s",357.110863255174,2,-2,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -2m 1.5m m-s",0.912151902306035,2,-2,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -2m 3m-s",357.729494540193,2,-2,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -2m 3m-s",358.448976718547,2,-2,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -2m 3m-s",357.049769128103,2,-2,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -2m 3m-s",358.390877919455,2,-2,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -2m 3m-s",0.864103995944009,2,-2,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -2m 3m-s",358.708372600676,2,-2,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -2m 3m-s",357.628930074024,2,-2,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -2m 3m-s",358.373932061485,2,-2,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -2m 3m-s",359.996858558906,2,-2,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -2m 4.5m-s",357.349698307828,2,-2,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -2m 4.5m-s",359.25389686146,2,-2,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -2m 4.5m-s",358.403362286149,2,-2,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -2m 4.5m-s",358.215995455434,2,-2,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -2m 4.5m-s",1.35396161588631,2,-2,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -2m 4.5m-s",359.425530302209,2,-2,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -2m 4.5m-s",358.131315879,2,-2,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -2m 4.5m-s",358.863666298264,2,-2,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -2m 4.5m-s",359.540261809107,2,-2,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -3m 1.5m-s",357.254819373482,2,-3,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -3m 1.5m-s",356.97105891539,2,-3,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -3m 1.5m-s",356.146931718665,2,-3,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -3m 1.5m-s",354.438778541884,2,-3,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -3m 1.5m-s",359.762706912089,2,-3,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -3m 1.5m-s",358.125589272901,2,-3,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -3m 1.5m-s",356.30829359694,2,-3,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -3m 1.5m-s",358.312451229681,2,-3,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -3m 1.5m-s",358.343825820764,2,-3,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -3m 3m-s",358.78216034049,2,-3,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -3m 3m-s",359.725738975879,2,-3,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -3m 3m-s",359.266596202837,2,-3,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -3m 3m-s",358.508482435996,2,-3,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -3m 3m-s",0.833380576566064,2,-3,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -3m 3m-s",0.0233696910156986,2,-3,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -3m 3m-s",358.601934928959,2,-3,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -3m 3m-s",0.0622231403399435,2,-3,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -3m 3m-s",359.528019694964,2,-3,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -3m 4.5m-s ",358.886444796535,2,-3,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -3m 4.5m-s ",359.762396871321,2,-3,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -3m 4.5m-s ",359.793598908434,2,-3,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -3m 4.5m-s ",358.665299256288,2,-3,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -3m 4.5m-s ",0.887798790388101,2,-3,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -3m 4.5m-s ",0.395578685037345,2,-3,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -3m 4.5m-s ",358.537013682427,2,-3,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -3m 4.5m-s ",0.0725317244429253,2,-3,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -3m 4.5m-s ",359.524087963376,2,-3,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -3m 1.5m-s",8.65774451409424,10,-3,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -3m 1.5m-s",346.717658402181,10,-3,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -3m 1.5m-s",343.415055013458,10,-3,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -3m 1.5m-s",5.89737227962478,10,-3,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -3m 1.5m-s",356.388496460103,10,-3,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -3m 1.5m-s",355.676336731492,10,-3,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -3m 1.5m-s",357.688915791093,10,-3,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -3m 1.5m-s",351.890728123657,10,-3,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -3m 1.5m-s",356.595522833604,10,-3,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -3m 3m-s",0.187663178226104,10,-3,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -3m 3m-s",0.662870493264183,10,-3,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -3m 3m-s",359.376444366312,10,-3,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -3m 3m-s",359.948460985871,10,-3,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -3m 3m-s",359.9602614992,10,-3,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -3m 3m-s",0.254432317871951,10,-3,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -3m 3m-s",359.412855252164,10,-3,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -3m 3m-s",358.328774431137,10,-3,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -3m 3m-s",0.00355065375887456,10,-3,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -3m 4.5m-s",0.283314796713573,10,-3,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -3m 4.5m-s",359.918037062329,10,-3,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -3m 4.5m-s",359.727190087479,10,-3,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -3m 4.5m-s",359.632844549894,10,-3,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -3m 4.5m-s",0.185283190421578,10,-3,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -3m 4.5m-s",0.273972215761828,10,-3,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -3m 4.5m-s",359.460839205898,10,-3,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -3m 4.5m-s",358.711814140599,10,-3,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -3m 4.5m-s",359.664863226134,10,-3,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -2m 1.5m-s",329.157316142695,10,-2,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -2m 1.5m-s",32.3132849466362,10,-2,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -2m 1.5m-s",46.6285558090572,10,-2,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -2m 1.5m-s",349.2437568121,10,-2,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -2m 1.5m-s",359.59076556243,10,-2,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -2m 1.5m-s",0.636380861493903,10,-2,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -2m 1.5m-s",346.347517149092,10,-2,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -2m 1.5m-s",351.667926185362,10,-2,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -2m 1.5m-s",2.43778840865651,10,-2,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -2m 3m-s",1.71140888541132,10,-2,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -2m 3m-s",1.86655447337151,10,-2,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -2m 3m-s",355.649750281881,10,-2,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -2m 3m-s",0.0787844864565985,10,-2,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -2m 3m-s",358.84913138898,10,-2,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -2m 3m-s",356.422150354111,10,-2,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -2m 3m-s",358.668046562278,10,-2,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -2m 3m-s",358.105908660749,10,-2,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -2m 3m-s",358.000591389237,10,-2,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -2m 4.5m-s",1.07076598197856,10,-2,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -2m 4.5m-s",1.52142435160931,10,-2,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -2m 4.5m-s",357.819982561161,10,-2,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -2m 4.5m-s",0.534593882763438,10,-2,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -2m 4.5m-s",359.244342041199,10,-2,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -2m 4.5m-s",357.892032179761,10,-2,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -2m 4.5m-s",358.743940930688,10,-2,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -2m 4.5m-s",359.07793687572,10,-2,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -2m 4.5m-s",358.836648378492,10,-2,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -1m 1.5m-s",344.014716008373,10,-1,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -1m 1.5m-s",15.9431213751745,10,-1,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -1m 1.5m-s",39.4958344459307,10,-1,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -1m 1.5m-s",333.490905425941,10,-1,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -1m 1.5m-s",359.07793687572,10,-1,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -1m 1.5m-s",13.2751546212842,10,-1,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -1m 1.5m-s",332.305362367242,10,-1,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -1m 1.5m-s",,10,-1,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -1m 1.5m-s",15.0207523346523,10,-1,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -1m 3m-s",8.06767155069627,10,-1,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -1m 3m-s",338.073622539954,10,-1,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -1m 3m-s",348.254922367466,10,-1,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -1m 3m-s",3.28008098259465,10,-1,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -1m 3m-s",4.70545380352632,10,-1,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -1m 3m-s",346.714284621517,10,-1,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -1m 3m-s",354.260029877548,10,-1,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -1m 3m-s",,10,-1,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -1m 3m-s",5.44978431099739,10,-1,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw -1m 4.5m-s",1.51587767118093,10,-1,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw -1m 4.5m-s",358.741521178565,10,-1,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw -1m 4.5m-s",351.686481521643,10,-1,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw -1m 4.5m-s",359.815212077636,10,-1,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw -1m 4.5m-s",359.442328280108,10,-1,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw -1m 4.5m-s",353.288463393847,10,-1,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw -1m 4.5m-s",356.703290552619,10,-1,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw -1m 4.5m-s",,10,-1,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw -1m 4.5m-s",4.31396133347318,10,-1,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 0m 1.5m-s",352.556828751101,10,0,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 0m 1.5m-s",354.41671089795,10,0,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 0m 1.5m-s",356.999378442901,10,0,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 0m 1.5m-s",341.1010370814,10,0,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 0m 1.5m-s",,10,0,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 0m 1.5m-s",10.0789992290247,10,0,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 0m 1.5m-s",,10,0,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 0m 1.5m-s",,10,0,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 0m 1.5m-s",,10,0,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 0m 3m-s",8.11554505994605,10,0,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 0m 3m-s",359.305631763699,10,0,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 0m 3m-s",348.913129549062,10,0,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 0m 3m-s",16.7858706242262,10,0,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 0m 3m-s",,10,0,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 0m 3m-s",345.609768831289,10,0,3
