"Location","Vel_dir","Height","H_m","Width","Source","direction.deg","payload","Distance_m","Nom_WS"
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 16m 4.5m-s",5.94284377476232,2,16,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 16m 4.5m-s",3.20898723800847,2,16,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 16m 4.5m-s",353.330626443141,2,16,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 16m 4.5m-s",338.843790897192,2,16,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 16m 4.5m-s",1.85355069168531,2,16,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 16m 4.5m-s",19.5829843123033,2,16,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 12m 1.5 m-s",12.9614938454202,2,12,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 12m 1.5 m-s",2.4588538721642,2,12,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 12m 1.5 m-s",348.691612969629,2,12,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 12m 1.5 m-s",1.91935675528264,2,12,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 12m 1.5 m-s",358.388497018268,2,12,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 12m 1.5 m-s",356.523529732447,2,12,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 12m 1.5 m-s",341.357657226793,2,12,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 12m 1.5 m-s",2.05063125811152,2,12,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 12m 1.5 m-s",12.0750543993937,2,12,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 12m 3m-s",18.9560714771517,2,12,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 12m 3m-s",3.6831757266772,2,12,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 12m 3m-s",335.778390397585,2,12,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 12m 3m-s",359.097791140148,2,12,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 12m 3m-s",1.22110529049168,2,12,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 12m 3m-s",356.947916780563,2,12,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 12m 3m-s",339.983333086049,2,12,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 12m 3m-s",359.591892691531,2,12,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 12m 3m-s",17.9272834745299,2,12,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 12m 4.5m-s",17.7197414840689,2,12,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 12m 4.5m-s",1.46534015321403,2,12,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 12m 4.5m-s",337.896225906005,2,12,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 12m 4.5m-s",6.83988319405767,2,12,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 12m 4.5m-s",3.3857937906664,2,12,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 12m 4.5m-s",353.628627190551,2,12,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 12m 4.5m-s",335.468535432989,2,12,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 12m 4.5m-s",3.89132558789768,2,12,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 12m 4.5m-s",21.3117314923091,2,12,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 8m 1.5m-s",8.90489411340553,2,8,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 8m 1.5m-s",359.63705715583,2,8,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 8m 1.5m-s",342.262774139826,2,8,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 8m 1.5m-s",11.5200960419986,2,8,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 8m 1.5m-s",0.309056337995759,2,8,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 8m 1.5m-s",349.343663136434,2,8,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 8m 1.5m-s",338.252729237034,2,8,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 8m 1.5m-s",3.35803671136433,2,8,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 8m 1.5m-s",14.0666329887083,2,8,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 8m 3m-s",13.4094953137031,2,8,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 8m 3m-s",357.621078818539,2,8,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 8m 3m-s",342.648559592326,2,8,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 8m 3m-s",14.6744734302825,2,8,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 8m 3m-s",356.03248783895,2,8,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 8m 3m-s",343.559534603789,2,8,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 8m 3m-s",337.819129242945,2,8,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 8m 3m-s",352.739670584964,2,8,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 8m 3m-s",22.7778801850391,2,8,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 8m 4.5 m-s",27.4431561156837,2,8,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 8m 4.5 m-s",359.700461803292,2,8,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 8m 4.5 m-s",338.987640316527,2,8,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 8m 4.5 m-s",350.221017289582,2,8,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 8m 4.5 m-s",359.937187376069,2,8,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 8m 4.5 m-s",4.27913747152868,2,8,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 8m 4.5 m-s",347.419277937567,2,8,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 8m 4.5 m-s",359.30543253053,2,8,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 8m 4.5 m-s",12.1780777783823,2,8,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 6m 1.5 m-s",17.3905623151535,2,6,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 6m 1.5 m-s",356.836195758251,2,6,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 6m 1.5 m-s",334.463414191114,2,6,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 6m 1.5 m-s",36.9291815074917,2,6,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 6m 1.5 m-s",358.178857547543,2,6,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 6m 1.5 m-s",342.779517410274,2,6,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 6m 1.5 m-s",322.059077535947,2,6,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 6m 1.5 m-s",2.77657829637861,2,6,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 6m 1.5 m-s",12.3635772146104,2,6,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 6m 3m-s",14.5837376263775,2,6,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 6m 3m-s",356.656228442853,2,6,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 6m 3m-s",342.366617468369,2,6,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 6m 3m-s",14.4988294695764,2,6,3
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 6m 3m-s",1.46403512257247,2,6,3
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 6m 3m-s",341.944463049473,2,6,3
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 6m 3m-s",338.739076082068,2,6,3
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 6m 3m-s",357.970903103406,2,6,3
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 6m 3m-s",17.1723866679057,2,6,3
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 6m 4.5 m-s",29.2356573252221,2,6,4.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 6m 4.5 m-s",3.39661311682455,2,6,4.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 6m 4.5 m-s",335.158510950174,2,6,4.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 6m 4.5 m-s",345.392689359493,2,6,4.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 6m 4.5 m-s",2.09181453941216,2,6,4.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 6m 4.5 m-s",9.67394617225943,2,6,4.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 6m 4.5 m-s",346.88518019361,2,6,4.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 6m 4.5 m-s",358.293407391477,2,6,4.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 6m 4.5 m-s",5.42661158504854,2,6,4.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 5m 1.5 m-s",21.6654241441998,2,5,1.5
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 5m 1.5 m-s",344.924932693864,2,5,1.5
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 5m 1.5 m-s",329.728601944822,2,5,1.5
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 5m 1.5 m-s",14.4980460176696,2,5,1.5
"MidCenter","Direction","1.2192","Height = 1.2m","2.1","Raw 5m 1.5 m-s",348.259849301323,2,5,1.5
"MidRight","Direction","1.2192","Height = 1.2m","3.3","Raw 5m 1.5 m-s",356.285141785366,2,5,1.5
"TopLeft","Direction","1.8288","Height = 1.8m","0.99","Raw 5m 1.5 m-s",346.998767167464,2,5,1.5
"TopCenter","Direction","1.8288","Height = 1.8m","2.1","Raw 5m 1.5 m-s",3.48923469166572,2,5,1.5
"TopRight","Direction","1.8288","Height = 1.8m","3.3","Raw 5m 1.5 m-s",20.7249258879432,2,5,1.5
"BottomLeft","Direction","0.6096","Height = 0.6m","0.99","Raw 5m 3m-s",14.6336787810128,2,5,3
"BottomCenter","Direction","0.6096","Height = 0.6m","2.1","Raw 5m 3m-s",0.374074722395161,2,5,3
"BottomRight","Direction","0.6096","Height = 0.6m","3.3","Raw 5m 3m-s",341.190769109317,2,5,3
"MidLeft","Direction","1.2192","Height = 1.2m","0.99","Raw 5m 3m-s",5.35996493930818,2,5,3
